CaII,,,,,,,,,,
QSO,zem,zabs,gmag,W0a,e_W0a,W0b,e_W0b,Sloan,_RA,_DE
J132657.45+405018.9,2.711,0.6108,17.97,0.723,0.08,0.548,0.078,Sloan,201.73937,40.83858
J132657.46+405018.9,1.727,0.6112,17.97,0.852,0.115,0.386,0.096,Sloan,201.73942,40.83858
J132736.15+152450.7,2.566,0.2771,18.35,0.546,0.093,0.296,0.099,Sloan,201.90062,15.41408
J132752.04+103627.2,1.901,0.5985,19.18,1.91,0.257,1.094,0.218,Sloan,201.96683,10.60756
J132803.43+352152.2,2.35,0.5324,19.51,0.679,0.095,0.439,0.096,Sloan,202.01429,35.3645
J133008.08+145357.0,3.028,0.5243,19.5,1.597,0.251,0.699,0.225,Sloan,202.53367,14.89917
J133317.74+353750.1,0.769,0.0938,19.33,0.351,0.07,0.364,0.073,Sloan,203.32392,35.63058
J133404.15+195930.1,2.464,0.3514,19.3,1.671,0.168,0.759,0.102,Sloan,203.51729,19.99169
J133526.01-010028.1,0.671,0.1731,17.28,0.303,0.061,0.185,0.049,Sloan,203.85837,-1.00781
J133550.37+284808.7,1.066,0.8491,17.41,0.478,0.074,0.356,0.075,Sloan,203.95987,28.80242
J133658.54+100808.2,0.356,0.1796,17.82,0.766,0.06,0.287,0.084,Sloan,204.24392,10.13561
J133719.25+074728.4,1.392,0.8594,17.57,0.501,0.083,0.258,0.056,Sloan,204.33021,7.79122
J134246.25-003543.7,0.787,0.5383,18.23,0.596,0.099,0.271,0.079,Sloan,205.69271,-0.59547
J134317.34+635444.9,1.139,0.7095,17.56,0.777,0.065,0.47,0.053,Sloan,205.82225,63.91247
J134804.80+072439.6,2.496,0.2425,18.86,0.539,0.105,0.447,0.139,Sloan,207.02,7.411
J135406.12+104220.9,0.318,0.3186,19.05,1.55,0.303,1.123,0.28,Sloan,208.5255,10.70581
J135547.63+071241.1,0.348,0.3019,19.55,0.841,0.157,0.642,0.174,Sloan,208.94846,7.21142
J135639.93-012321.8,2.207,0.937,20.2,0.957,0.151,0.478,0.123,Sloan,209.16637,-1.38939
J135721.40+164213.1,2.246,0.8183,19.7,0.831,0.129,0.678,0.146,Sloan,209.33917,16.70364
J135828.74+005811.4,3.921,0.7067,20.84,1.055,0.198,0.665,0.184,Sloan,209.61975,0.96983
J140056.06+021825.8,0.196,0.1547,19.22,1.825,0.295,1.544,0.319,Sloan,210.23358,2.30717
J140059.27+073339.9,2.346,0.2988,18.93,0.724,0.107,0.303,0.085,Sloan,210.24696,7.56108
J140134.90+533714.2,1.971,0.828,18.97,0.471,0.093,0.383,0.131,Sloan,210.39542,53.62061
J140215.79+341533.3,2.079,0.5548,18.69,0.815,0.096,0.424,0.094,Sloan,210.56579,34.25925
J140444.19+551637.0,1.588,1.0708,19.42,1.374,0.233,0.501,0.195,Sloan,211.18412,55.27694
J140448.80+144940.6,2.192,0.7532,19.43,0.601,0.116,0.419,0.113,Sloan,211.20333,14.82794
J140602.17+590443.2,2.364,0.6762,18.63,0.673,0.092,0.675,0.092,Sloan,211.50904,59.07867
J140703.55+243137.0,2.144,0.1168,18.56,0.735,0.105,0.521,0.133,Sloan,211.76479,24.52694
J140717.90+170709.5,1.794,0.8369,18.3,1.355,0.101,0.685,0.113,Sloan,211.82458,17.11931
J140744.20+140620.8,2.175,0.2111,19.01,0.962,0.187,0.464,0.179,Sloan,211.93417,14.10578
J140945.23+494119.5,1.23,0.3343,19.28,1.166,0.221,0.984,0.232,Sloan,212.43846,49.68875
J141108.45+285551.7,0.54,0.135,19.18,1.536,0.303,0.973,0.287,Sloan,212.78521,28.93103
J141615.71+365537.3,1.827,1.2035,18.3,0.696,0.086,0.396,0.063,Sloan,214.06546,36.92703
J141723.73+285522.6,1.808,0.2243,19.42,1.75,0.281,0.709,0.24,Sloan,214.34887,28.92294
J141746.03+162512.2,1.72,0.2415,17.79,0.603,0.11,0.479,0.092,Sloan,214.44179,16.42006
J142119.39+313219.6,2.921,0.7044,20.25,1.371,0.141,1.109,0.13,Sloan,215.33079,31.53878
J142536.12-001702.2,2.679,0.2197,18.83,1.111,0.094,0.515,0.079,Sloan,216.4005,-0.28394
J142543.32+540619.3,3.26,0.3791,18.12,0.487,0.086,0.268,0.076,Sloan,216.4305,54.10536
J143040.83+014939.9,2.113,1.2419,17.81,0.301,0.039,0.13,0.043,Sloan,217.67012,1.82775
J143113.14-005238.4,1.635,0.0292,20.11,1.37,0.219,0.819,0.161,Sloan,217.80475,-0.87733
J143218.94+134145.6,1.204,0.3383,19.24,1.148,0.213,0.923,0.213,Sloan,218.07892,13.696
J143517.71+634259.2,0.528,0.0329,17.93,0.397,0.076,0.185,0.072,Sloan,218.82379,63.71644
J143614.14+105905.6,1.24,0.4775,17.48,0.833,0.121,0.551,0.107,Sloan,219.05892,10.98489
J143712.49+613519.2,1.783,0.5477,18.54,1.142,0.186,0.769,0.141,Sloan,219.30204,61.58867
J143841.95+034110.3,1.737,0.2943,18.5,0.441,0.089,0.233,0.088,Sloan,219.67479,3.68619
J144030.18+160012.3,2.01,0.3174,18.25,0.668,0.086,0.413,0.094,Sloan,220.12575,16.00342
J144047.39+093809.0,1.201,0.9016,18.08,0.497,0.086,0.229,0.081,Sloan,220.19746,9.63583
J144107.90+392329.8,1.351,0.6785,19.13,1.007,0.167,0.672,0.162,Sloan,220.28292,39.39161
J144314.18-024722.1,0.677,0.6503,17.35,0.524,0.057,0.357,0.05,Sloan,220.80908,-2.78947
J144335.16+334859.8,3.606,0.5646,19.58,0.583,0.086,0.202,0.067,Sloan,220.8965,33.81661
J144342.21-025430.6,0.775,0.7627,19.61,2.573,0.222,1.114,0.241,Sloan,220.92587,-2.9085
J144446.73+591047.4,0.277,0.2333,18.7,0.598,0.114,0.35,0.104,Sloan,221.19471,59.17983
J144617.43+163707.0,1.687,0.7866,19.51,0.697,0.133,0.534,0.136,Sloan,221.57262,16.61861
J145012.13+302551.5,1.219,0.6035,18.22,0.371,0.067,0.177,0.059,Sloan,222.55054,30.43097
J145048.95+191430.6,0.79,0.4772,18.58,0.578,0.095,0.59,0.102,Sloan,222.70396,19.24183
J145306.70+123902.4,0.541,0.4078,18.98,0.994,0.151,0.575,0.162,Sloan,223.27792,12.65067
J145322.45+053448.4,2.207,0.7389,19.28,0.439,0.085,0.286,0.086,Sloan,223.34354,5.58011
J145943.07+135758.3,0.8,0.0624,18.85,1.305,0.222,0.602,0.215,Sloan,224.92946,13.96619
J150917.22+341026.2,1.936,0.802,18.69,0.489,0.09,0.428,0.069,Sloan,227.32175,34.17394
J151144.82+184511.0,1.535,0.7776,19.14,0.644,0.11,0.524,0.11,Sloan,227.93675,18.75306
J151247.48+573843.5,2.125,1.0444,19.26,1.04,0.182,0.692,0.195,Sloan,228.19783,57.64542
J151424.94+370413.5,1.061,0.5106,18.65,0.715,0.143,0.44,0.118,Sloan,228.60392,37.07042
J151507.84+612411.9,2.181,0.5216,17.88,0.369,0.069,0.233,0.089,Sloan,228.78267,61.40331
J151617.79+265525.0,3.107,0.9429,21.88,1.542,0.109,0.839,0.118,Sloan,229.07412,26.92361
J151958.12+502919.2,2.095,0.5193,19.07,1.123,0.205,0.669,0.194,Sloan,229.99217,50.48867
J152046.36+610511.3,2.176,0.4234,19.21,1.192,0.223,1.191,0.186,Sloan,230.19317,61.08647
J152340.18+094651.7,1.432,0.5139,18.31,0.876,0.133,0.536,0.103,Sloan,230.91742,9.78103
J152531.76+151238.2,1.492,0.2757,18.35,0.473,0.08,0.406,0.081,Sloan,231.38233,15.21061
J152552.40+111706.7,2.039,0.6878,18.37,0.497,0.092,0.272,0.093,Sloan,231.46833,11.28519
J152607.22+292903.6,2.734,1.2192,19.41,0.49,0.09,0.439,0.088,Sloan,231.53008,29.48433
J152609.38+071829.3,2.417,1.1321,19.64,1.148,0.187,1.234,0.227,Sloan,231.53908,7.30814
J152652.76+405126.6,3.717,0.6507,19.9,1.394,0.222,1.096,0.159,Sloan,231.71983,40.85739
J152726.97+263637.5,3.481,0.72,20.04,0.946,0.145,0.591,0.177,Sloan,231.86237,26.61042
J152740.66+063218.5,2.924,0.4454,19.56,0.606,0.114,0.283,0.105,Sloan,231.91942,6.53847
J152800.29+535223.8,1.391,0.316,17.47,0.541,0.056,0.325,0.08,Sloan,232.00121,53.87328
J152918.02+324841.8,1.65,0.0636,17.75,0.238,0.046,0.259,0.048,Sloan,232.32508,32.81161
J152934.79+275416.3,1.374,0.2399,18.85,0.878,0.134,0.453,0.14,Sloan,232.39496,27.90453
J152941.57+254815.9,3.646,0.5403,20.48,0.466,0.082,0.351,0.081,Sloan,232.42321,25.80442
J153043.23+210743.2,1.338,0.3594,18.36,0.493,0.068,0.321,0.055,Sloan,232.68012,21.12867
J153043.23+210743.3,1.337,0.3595,18.36,0.51,0.087,0.385,0.087,Sloan,232.68012,21.12869
J153209.51+061356.1,0.842,0.0533,17.37,0.506,0.102,0.262,0.081,Sloan,233.03962,6.23225
J153338.11+023320.9,0.87,0.8425,17.91,0.425,0.078,0.301,0.075,Sloan,233.40879,2.55581
J153400.58+025615.8,0.43,0.3986,17.5,0.333,0.064,0.251,0.067,Sloan,233.50242,2.93772
J153503.43+311832.1,1.511,0.9042,18.12,0.524,0.045,0.387,0.044,Sloan,233.76429,31.30892
J153717.86+432752.9,2.186,0.3678,17.97,0.375,0.075,0.263,0.074,Sloan,234.32442,43.46469
J153731.01+335836.7,1.023,0.9136,17.57,0.451,0.07,0.412,0.079,Sloan,234.37921,33.97686
J154052.05-001822.5,1.862,0.2004,19.66,1.683,0.29,1.392,0.387,Sloan,235.21687,-0.30625
J154207.66+191525.6,2.505,0.6074,18.84,0.357,0.053,0.228,0.055,Sloan,235.53192,19.25711
J154317.71+302921.3,1.053,0.8049,19.03,0.48,0.093,0.415,0.1,Sloan,235.82379,30.48925
J154348.98+232910.2,2.383,0.093,19.27,0.841,0.144,0.48,0.12,Sloan,235.95408,23.48617
J154550.38+554346.2,2.155,0.5443,17.71,0.471,0.055,0.523,0.056,Sloan,236.45992,55.7295
J154836.39+174941.9,1.17,0.6933,18.43,0.661,0.125,0.446,0.104,Sloan,237.15162,17.82831
J154929.89+113743.3,0.681,0.3528,19.35,0.52,0.103,0.558,0.1,Sloan,237.37454,11.62869
J155121.13+071357.7,0.675,0.329,16.85,0.197,0.035,0.147,0.036,Sloan,237.83804,7.23269
J155328.49+095102.0,0.192,0.1577,16.6,0.212,0.036,0.13,0.036,Sloan,238.36871,9.85056
J155331.55+122039.1,2.162,1.045,18.53,0.578,0.073,0.204,0.062,Sloan,238.38146,12.34419
J155412.48+144533.0,0.78,0.3667,17.49,0.427,0.05,0.315,0.052,Sloan,238.552,14.75917
J155434.56+200845.8,2.048,0.5661,19.43,1.43,0.243,0.612,0.183,Sloan,238.644,20.14606
J155453.30+245622.5,1.029,0.5996,20.31,0.618,0.1,0.512,0.091,Sloan,238.72208,24.93958
J155744.01+330231.1,3.146,0.4422,18.61,0.524,0.087,0.489,0.083,Sloan,239.43337,33.04197
J155752.31+342140.0,1.265,0.114,18.56,0.598,0.102,0.628,0.168,Sloan,239.46796,34.36111
J155924.08+094431.3,3.03,0.4408,19.7,1.022,0.163,0.536,0.146,Sloan,239.85033,9.74203
J155948.17+065727.6,2.895,0.5325,18.98,0.909,0.169,0.427,0.132,Sloan,239.95071,6.95767
J160202.39+401301.3,2.096,0.8452,18.38,0.31,0.048,0.233,0.05,Sloan,240.50996,40.21703
J160212.46+334954.0,1.966,0.8396,19.24,0.707,0.133,0.261,0.091,Sloan,240.55192,33.83167
J160224.86+024220.5,1.401,0.5713,18.23,0.395,0.065,0.224,0.08,Sloan,240.60358,2.70569
J160335.78+453656.3,3.031,0.6119,19.79,1.198,0.193,0.795,0.224,Sloan,240.89908,45.61564
J160343.18+244836.4,2.263,0.6564,20.37,1.17,0.157,0.575,0.138,Sloan,240.92992,24.81011
J160500.70+203511.3,1.362,0.6461,19.3,1.39,0.112,0.844,0.089,Sloan,241.25292,20.58647
J160637.57+173516.2,2.313,0.5947,18.5,0.286,0.05,0.265,0.054,Sloan,241.65654,17.58783
J160843.90+071508.6,2.864,1.3206,16.78,0.308,0.034,0.209,0.034,Sloan,242.18292,7.25239
J160932.94+462613.3,2.372,0.9655,18.76,0.985,0.161,0.381,0.153,Sloan,242.38725,46.43703
J160943.67+533041.0,1.329,0.794,18.99,0.884,0.076,0.527,0.077,Sloan,242.43196,53.51139
J161018.39+042631.6,2.612,0.3626,18.55,0.293,0.054,0.225,0.055,Sloan,242.57662,4.44211
J161033.12+202420.1,0.627,0.1585,17.59,0.536,0.067,0.358,0.071,Sloan,242.638,20.40558
J161206.04+320516.3,1.839,1.1425,18.84,0.749,0.14,0.318,0.113,Sloan,243.02517,32.08786
J161644.75+211907.4,1.322,0.6207,19.57,1.041,0.191,0.527,0.188,Sloan,244.18646,21.31872
J161649.42+415416.3,0.44,0.3212,16.95,0.397,0.067,0.226,0.054,Sloan,244.20592,41.90453
J161808.79+192325.7,1.496,0.5841,18.87,0.64,0.12,0.395,0.097,Sloan,244.53662,19.39047
J161833.54+335826.0,2.951,0.4923,19.18,0.721,0.141,0.369,0.136,Sloan,244.63975,33.97389
J161907.54+211114.3,2.423,0.3256,18.29,0.598,0.116,0.33,0.107,Sloan,244.78142,21.18731
J161925.53+513029.6,1.301,0.6497,18.31,0.664,0.074,0.29,0.088,Sloan,244.85637,51.50822
J161953.10+071621.0,1.846,0.1105,20.2,1.439,0.241,0.742,0.128,Sloan,244.97125,7.2725
J162044.77+125629.8,1.339,0.3949,18.05,0.232,0.047,0.175,0.048,Sloan,245.18654,12.94161
J162537.74+352022.3,0.662,0.5259,19.17,0.971,0.133,0.514,0.121,Sloan,246.40725,35.33953
J162548.79+264658.7,2.522,0.1432,17.32,0.535,0.083,0.332,0.088,Sloan,246.45329,26.78297
J162558.00+313911.3,1.207,0.9056,18.9,0.813,0.156,0.332,0.13,Sloan,246.49167,31.65314
J162904.96+361512.1,0.363,0.2583,17.74,0.533,0.082,0.452,0.069,Sloan,247.27067,36.25336
J162933.60+253200.6,1.339,0.6545,19.65,0.897,0.171,0.522,0.146,Sloan,247.39,25.5335
J162957.80+423051.4,1.187,0.3783,19.26,0.734,0.146,0.498,0.148,Sloan,247.49083,42.51428
J163101.91+141037.3,2.355,0.244,19.31,0.521,0.077,0.299,0.079,Sloan,247.75796,14.17703
J163513.26+145938.3,1.643,0.6538,19.2,0.521,0.103,0.359,0.109,Sloan,248.80525,14.99397
J163513.47+132305.8,2.857,0.6867,18.96,0.843,0.114,0.367,0.111,Sloan,248.80612,13.38494
J163556.84+110907.7,2.172,0.6684,19.53,0.858,0.171,0.369,0.145,Sloan,248.98683,11.15214
J163638.18+211255.5,1.803,0.8001,19.42,0.432,0.058,0.308,0.061,Sloan,249.15908,21.21542
J163923.07+161041.8,2.511,0.3622,18.98,0.577,0.073,0.352,0.068,Sloan,249.84612,16.17828
J164042.18+175334.2,2.744,0.2154,19.75,0.667,0.111,0.492,0.118,Sloan,250.17575,17.89283
J164105.35+403651.7,2.444,0.2446,18.69,0.608,0.114,0.332,0.117,Sloan,250.27229,40.61436
J164447.09+171154.3,2.97,0.924,18.96,0.897,0.087,0.61,0.148,Sloan,251.19621,17.19842
J165118.61+400124.8,0.357,0.3356,17.22,0.244,0.035,0.126,0.042,Sloan,252.82754,40.02356
J165621.66+415524.4,2.901,0.3296,18.92,1.321,0.171,0.913,0.182,Sloan,254.09025,41.92344
J165743.05+221149.1,1.779,0.2659,18.38,1.642,0.221,1.546,0.158,Sloan,254.42937,22.19697
J165749.66+345149.0,1.643,0.7694,19.03,0.881,0.14,0.485,0.109,Sloan,254.45692,34.86361
J170428.65+242917.9,1.788,1.3129,16.94,0.316,0.059,0.19,0.057,Sloan,256.11937,24.48831
J170700.46+591041.2,1.834,0.5184,18.71,0.76,0.145,0.49,0.139,Sloan,256.75192,59.17811
J171712.86+640344.7,2.101,0.1799,19.03,1.321,0.253,0.71,0.193,Sloan,259.30358,64.06242
J172739.03+530229.1,1.444,0.9452,18.44,0.59,0.094,0.422,0.112,Sloan,261.91262,53.04142
J173257.40+325121.6,3.236,0.695,18.6,0.469,0.089,0.442,0.073,Sloan,263.23917,32.856
J173559.98+573106.0,1.827,0.8725,18.87,0.995,0.163,0.723,0.14,Sloan,263.99992,57.51833
J205455.16-052511.5,0.831,0.7016,20.43,1.152,0.159,1.165,0.166,Sloan,313.72983,-5.41986
J205601.68-001613.2,0.521,0.4687,18.05,0.863,0.164,0.591,0.167,Sloan,314.007,-0.27033
J210757.66-062010.6,1.899,0.2321,17.48,0.747,0.08,0.503,0.063,Sloan,316.99025,-6.33628
J210803.84+010217.2,2.441,0.3187,19.74,0.624,0.115,0.487,0.101,Sloan,317.016,1.03811
J211443.95-005532.8,3.442,0.5066,19.44,1.742,0.085,1.086,0.097,Sloan,318.68312,-0.92578
J212110.54+035501.4,2.68,0.3087,19.72,0.673,0.082,0.389,0.091,Sloan,320.29392,3.91706
J212258.85+034309.5,3.25,0.7794,19.77,0.749,0.115,0.499,0.12,Sloan,320.74521,3.71931
J212727.19+082724.6,0.745,0.4393,18.87,0.535,0.104,0.456,0.089,Sloan,321.86329,8.45683
J212916.60+003756.7,2.955,0.2918,17.89,0.2,0.04,0.163,0.039,Sloan,322.31917,0.63242
J213235.95-001350.6,2.506,0.9886,18.96,0.803,0.146,0.542,0.126,Sloan,323.14979,-0.23072
J213408.11+043611.4,2.215,1.1182,18.67,0.804,0.085,0.426,0.089,Sloan,323.53379,4.60317
J213613.74+005825.9,0.528,0.3257,19.65,0.488,0.063,0.197,0.065,Sloan,324.05725,0.97386
J213617.71+084007.6,2.266,0.8685,18.79,0.893,0.149,0.539,0.118,Sloan,324.07379,8.66878
J213623.52-003410.9,2.224,1.2213,18.4,1.616,0.248,0.536,0.172,Sloan,324.098,-0.56969
J214037.59+100351.1,2.227,1.0724,18.47,0.43,0.06,0.298,0.054,Sloan,325.15662,10.06419
J214704.08-002600.1,1.803,0.7409,20.13,1.141,0.176,0.851,0.158,Sloan,326.767,-0.43336
J214730.00+104830.8,2.107,0.6995,18.47,0.549,0.081,0.318,0.084,Sloan,326.875,10.80856
J220249.76-003441.4,2.565,0.8341,20.94,1.772,0.233,1.329,0.384,Sloan,330.70733,-0.57817
J221608.88-005708.5,2.4,1.3428,17.61,0.378,0.056,0.255,0.061,Sloan,334.037,-0.95236
J221945.06+003708.1,3.531,0.4809,20.01,1.9,0.139,1.228,0.15,Sloan,334.93775,0.61892
J222733.20+003449.0,0.307,0.2419,18.83,0.815,0.157,0.432,0.152,Sloan,336.88833,0.58028
J223848.23+133926.8,2.223,0.0655,19.27,1.122,0.206,0.529,0.199,Sloan,339.70096,13.65744
J224511.27+130904.0,1.547,0.8612,19.05,1.279,0.162,0.849,0.231,Sloan,341.29696,13.15111
J224728.80-004417.5,1.14,0.4697,18.39,0.392,0.047,0.163,0.05,Sloan,341.87,-0.73819
J225800.02-084143.7,1.493,0.7311,17.69,0.306,0.057,0.278,0.058,Sloan,344.50008,-8.69547
J225913.74-084419.6,1.291,0.5295,18.61,0.697,0.137,0.488,0.11,Sloan,344.80725,-8.73878
J230048.95+023320.6,2.346,0.5546,18.82,0.487,0.092,0.282,0.074,Sloan,345.20396,2.55572
J230951.18-094016.3,1.574,0.678,19.6,0.776,0.124,0.558,0.112,Sloan,347.46325,-9.67119
J231930.38+004330.9,0.969,0.7517,18.22,0.746,0.05,0.57,0.051,Sloan,349.87658,0.72525
J232820.38+002238.1,1.307,0.6519,17.83,0.212,0.036,0.142,0.037,Sloan,352.08492,0.37725
J233112.65-100758.0,1.322,0.3584,16.97,0.338,0.055,0.136,0.045,Sloan,352.80271,-10.13278
J233212.46-093301.9,1.425,0.2446,18.94,0.8,0.154,0.423,0.136,Sloan,353.05192,-9.55053
J233728.39+004533.7,2.722,0.3159,19.63,0.888,0.15,0.723,0.148,Sloan,354.36829,0.75936
J233917.86-002943.5,1.344,0.9667,18.8,0.475,0.095,0.439,0.111,Sloan,354.82442,-0.49542
J234002.76-005242.1,2.254,0.2827,18.79,0.866,0.084,0.447,0.14,Sloan,355.0115,-0.87836
J234009.92-090921.3,0.519,0.0368,18.82,1.591,0.298,0.81,0.244,Sloan,355.04133,-9.15592
J234340.34+011254.4,1.954,0.1585,19.01,1.288,0.243,0.814,0.226,Sloan,355.91808,1.21511
