CaII,,,,,,,,,,
QSO,zem,zabs,gmag,W0a,e_W0a,W0b,e_W0b,Sloan,_RA,_DE
J082103.50+400903.3,1.229,0.5989,18.55,0.362,0.066,0.251,0.068,Sloan,125.26458,40.15092
J082153.82+503120.4,2.124,0.1833,17.95,0.296,0.054,0.165,0.054,Sloan,125.47425,50.52233
J082159.58+402236.3,3.77,1.0102,20.33,0.809,0.098,0.52,0.123,Sloan,125.49825,40.37675
J082206.66+344806.0,2.284,0.3441,19.69,0.915,0.178,0.678,0.146,Sloan,125.52775,34.80167
J082226.81+475059.1,1.126,0.1796,17.32,0.163,0.028,0.107,0.029,Sloan,125.61171,47.84975
J082312.13+264415.7,1.857,0.2533,18.59,0.633,0.103,0.383,0.102,Sloan,125.80054,26.73769
J082324.39+513950.2,2.477,1.0498,19.14,0.649,0.088,0.565,0.068,Sloan,125.85162,51.66394
J082341.08+241805.4,1.812,0.6192,17.49,0.886,0.091,0.394,0.069,Sloan,125.92117,24.3015
J082716.26+395742.4,2.827,0.5588,19.13,1.257,0.129,0.586,0.103,Sloan,126.81775,39.96178
J082736.21+270532.6,2.614,0.1615,19.22,0.489,0.086,0.393,0.088,Sloan,126.90087,27.09239
J082803.82+362915.2,2.277,0.1168,19.51,0.818,0.161,0.808,0.139,Sloan,127.01592,36.48756
J082918.09+113341.7,1.257,0.7424,17.45,0.23,0.034,0.134,0.041,Sloan,127.32537,11.56158
J082958.13+150157.2,1.206,0.286,18.23,0.759,0.091,0.251,0.092,Sloan,127.49221,15.03256
J083036.17+255240.2,1.242,0.4168,19.11,0.9,0.157,0.496,0.147,Sloan,127.65071,25.87783
J083137.24+235352.8,0.43,0.3827,19.28,0.717,0.143,0.535,0.148,Sloan,127.90517,23.898
J083247.21+150744.6,1.394,0.2038,18.62,0.68,0.133,0.731,0.133,Sloan,128.19671,15.12906
J083553.63+154139.5,1.4,0.5313,18.68,1.064,0.106,0.726,0.117,Sloan,128.97346,15.69431
J083559.15+142716.6,1.766,0.7129,19.41,0.697,0.117,0.466,0.127,Sloan,128.99646,14.45461
J083937.84+223940.6,1.308,0.4466,16.71,0.607,0.079,0.405,0.063,Sloan,129.90767,22.66128
J084106.79+031206.8,1.837,1.3427,16.48,0.225,0.033,0.133,0.029,Sloan,130.27829,3.20189
J084244.84+201215.2,1.229,0.382,18.22,0.96,0.097,0.358,0.102,Sloan,130.68683,20.20422
J084442.74+385358.8,2.43,1.2514,18.84,0.549,0.08,0.308,0.063,Sloan,131.17808,38.89967
J084650.44+052946.0,1.05,0.7429,17.82,0.435,0.063,0.264,0.053,Sloan,131.71017,5.49611
J084730.45+103327.2,1.058,0.8048,18.77,0.512,0.067,0.337,0.073,Sloan,131.87687,10.55756
J084804.73+212441.1,1.753,0.7707,19.67,1.214,0.225,0.968,0.165,Sloan,132.01971,21.41142
J085010.26+593118.2,1.718,0.2821,16.82,0.279,0.043,0.16,0.044,Sloan,132.54275,59.52172
J085045.44+563618.7,2.467,0.2253,18.24,0.532,0.071,0.219,0.073,Sloan,132.68933,56.60519
J085135.39+015601.9,3.205,0.9112,20.25,1.467,0.168,0.514,0.165,Sloan,132.89746,1.93386
J085223.93+565725.7,1.547,0.3003,18.64,0.672,0.133,0.504,0.131,Sloan,133.09971,56.95714
J085245.09+010239.4,2.533,0.2019,18.71,0.498,0.089,0.234,0.074,Sloan,133.18787,1.04428
J085313.54+042257.2,2.288,0.4095,19.02,1.271,0.202,0.616,0.161,Sloan,133.30642,4.38256
J085905.54+310522.9,0.742,0.3282,18.1,0.442,0.07,0.202,0.072,Sloan,134.77308,31.08969
J085917.59+105509.2,0.296,0.183,17.84,0.92,0.108,0.431,0.115,Sloan,134.82329,10.91922
J090130.79+631117.8,1.859,0.8175,18.38,0.812,0.086,0.343,0.088,Sloan,135.37829,63.18828
J090208.63+514352.6,1.972,0.7594,19.33,0.787,0.114,0.31,0.076,Sloan,135.53596,51.73128
J090231.46+172841.2,1.412,0.3101,19.06,0.838,0.157,0.605,0.169,Sloan,135.63108,17.47811
J090334.92+502819.2,3.564,0.6462,21.55,1.623,0.236,0.9,0.284,Sloan,135.8955,50.472
J090757.59+421823.6,0.809,0.2215,18.3,0.469,0.085,0.306,0.118,Sloan,136.98996,42.30656
J090809.20+041326.2,0.948,0.7585,18.43,1.414,0.092,0.744,0.12,Sloan,137.03833,4.22394
J090902.22+345926.5,0.575,0.4617,17.92,0.492,0.08,0.511,0.116,Sloan,137.25925,34.99069
J091333.65-004250.9,0.426,0.2807,17.67,0.496,0.08,0.317,0.107,Sloan,138.39021,-0.71414
